basin_id,flow,stage,single_task_stage,single_task_flow,p_mean,p_seasonality,frac_snow
01017000,0.517,0.509,0.5005,0.4057,2.85363161136461,0.156397425031351,0.258479306730389
01017290,0.665,0.656,0.6548,0.6137,2.7322722715824,0.21393662521505,0.265013760635392
01017960,0.617,0.523,0.4895,0.5235,2.90120013676462,0.120577500056375,0.215671645160778
01018009,0.49,0.534,0.4136,0.329,2.62972112368437,0.134133100797416,0.217381867662689
01027200,0.372,0.468,0.5594,0.359,3.09431494506297,0.237026717250266,0.256517067532373
01029500,0.466,0.582,0.6532,0.4915,3.12712257753848,0.126182715149308,0.235352504887851
01030500,0.534,0.604,0.5047,0.5608,3.18206303960577,0.0650953686045597,0.218341538508019
01031300,0.624,0.652,0.6122,0.5563,3.17245574210622,0.149476079830471,0.207459321129514
01031450,0.596,0.652,0.5511,0.5164,3.28392789803492,0.124964623758624,0.192730288454823
01031500,0.654,0.721,0.6345,0.5882,3.23312715373851,0.125115509283244,0.195401228414446
01031510,0.677,0.709,0.5516,0.5812,3.10769795765651,0.0781034994289296,0.180144116662976
01037380,0.644,0.662,0.5927,0.6545,3.64475925892802,-0.0903489848483045,0.15140508149866
01044550,0.422,0.517,0.5551,0.291,3.00834513354018,0.197362299545953,0.23329385984609
01046000,0.62,0.733,0.6647,0.5501,3.33127853002373,0.187644382271285,0.216673503881954
01046500,0.197,0.248,0.3196,0.1787,3.11877297943664,0.197284217439442,0.235907035248981
01047150,0.375,0.433,0.509,0.3065,3.14201391373122,0.186712238994101,0.230318922448264
01048220,0.557,0.643,0.569,0.4643,3.13966325004562,0.10982989230565,0.175446317541006
01052500,0.522,0.592,0.4116,0.4344,3.2803549229178,0.233032321843501,0.244656847194243
01054200,0.412,0.314,0.3158,0.5452,3.89176201228935,0.0869311768391785,0.224023272954164
01054300,0.658,0.656,0.5379,0.6093,3.12422223836466,0.127504188074979,0.203001828268939
01055000,0.474,0.643,0.6662,0.3092,3.21579879083775,0.154282447899148,0.250658342331755
01059000,0.516,0.518,0.4928,0.4467,3.25268866398978,0.135771295483519,0.208855588469374
01064801,0.396,0.586,0.5092,0.3842,3.23876861160796,0.0929087812452678,0.168653961985325
01067950,-0.184,0.437,0.5521,0.1967,3.38360087461216,0.002041773853392,0.0798281381341497
01068910,0.424,0.513,0.4423,0.4525,3.42116580191033,0.0038928704549757,0.0975005695003832
01069500,0.568,0.663,0.5033,0.5407,3.45922646492669,0.0037558977392236,0.116707994440839
01069700,0.451,0.107,0.3902,0.4656,3.3573696759141,-0.0039798537141899,0.0646601100918551
01072800,0.475,0.638,0.5465,0.3739,3.34823854766685,0.0300844568579589,0.118622485743953
01073000,0.216,0.58,0.566,0.3616,3.15262042897123,0.0370172834885958,0.0871737543509013
01073319,0.175,0.551,0.5107,-0.0937,3.17232081438219,0.042609486898428,0.10112834474538
01073500,0.389,0.609,0.5256,0.2139,3.18812040244571,0.0338226019109501,0.0945903130184391
10735562,0.365,0.57,,,,,
01073587,0.39,0.554,0.5029,0.2018,3.15156315665875,0.0293177546015303,0.0957258846492443
01073785,0.294,0.512,0.4153,0.334,3.27180472075196,-0.0203014809929277,0.0570822595684332
01074520,0.509,0.037,0.243,0.4204,3.85986916742715,0.12833023806083,0.240470728526652
01075000,0.548,0.666,0.6328,0.4836,3.76665706108171,0.127348514352697,0.230881800829796
01076000,0.548,0.59,0.455,0.4915,3.07128310287766,0.175993600083878,0.191483137477707
01076500,0.319,0.418,0.1931,0.3535,3.42496699209102,0.126721911876488,0.203765620064771
01078000,0.486,0.582,0.5584,0.4215,3.12658624408347,0.1262087336383,0.162336083033108
01081000,0.013,0.136,0.076,0.0011,3.0909135991361,0.106506155142369,0.145666100930457
01081500,0.366,0.465,0.4026,0.4112,3.23644161045203,0.117628160037254,0.171697779986104
01082000,0.465,0.555,0.4536,0.3573,3.25951894469794,0.0864151868954796,0.146445507146421
01085500,0.434,0.549,0.475,0.3549,3.3206357430188,0.0715983667056945,0.14544119452781
01086000,0.358,0.592,0.5409,0.3657,3.2696348218653,0.0691974576177109,0.145276965581164
01089100,0.194,0.427,0.4453,0.2226,2.93100978469307,0.0988509981606484,0.123473672687749
01089500,0.351,0.487,0.3813,0.1103,3.18683333649693,0.0822272140193382,0.129222053669821
01091000,-0.048,0.564,0.5018,0.0239,3.29204206461033,0.0321368574981234,0.123608225317449
01092000,0.39,0.524,0.436,0.3644,3.2129349208493,0.0940764840115003,0.152199140615836
01093852,0.474,0.621,0.5133,0.4529,3.38066890722151,0.0422856835052616,0.126285524996711
01094000,0.517,0.632,0.5215,0.3682,3.33712492602057,0.0364420945170314,0.119704800720027
01096000,0.551,0.684,0.5955,0.3872,3.2692506920971,0.0379744230903383,0.101357758649294
01096500,0.385,0.483,0.3887,0.3236,3.37191199957413,0.0273545803801953,0.0964184432062904
10965852,0.315,0.542,,,,,
01097000,0.414,0.569,0.5176,0.3816,3.36598822869137,0.0066106520270509,0.0813480716073488
01097300,0.489,0.597,0.533,0.4747,3.1428627628521,0.0052384796275022,0.0882999540629301
01098530,0.361,0.343,0.2392,0.3638,3.34260788556306,-0.0084493306059322,0.0769031781589609
01099500,0.316,0.492,0.3967,0.2468,3.27151776698911,-0.0003913443418187,0.0793077828110489
01100000,0.387,0.515,0.4561,0.3041,3.2243464860376,0.0736295031239009,0.134980821981951
01100505,-0.052,0.235,0.2653,-0.0247,3.12793389523636,0.0141279248090625,0.0955621909640509
01100561,0.07,0.448,0.5253,0.1442,3.12793389523636,0.0141279248090625,0.0955621909640509
01100600,0.425,0.562,0.4368,0.3692,3.19625917764799,-0.0231422677425156,0.0850865080961761
01101000,0.025,0.332,0.2644,0.1894,3.20523556500578,-0.0189730511828933,0.0616846349599906
01103280,0.493,0.589,,0.438,3.3674675236357,-0.0136542226889297,0.0771767607074997
01108000,0.484,0.534,,0.3852,3.46868777593235,-0.0839109372591796,0.0647985358184245
01108410,0.333,0.487,,0.2707,3.41267821883556,-0.0494152058283341,0.0740079775756273
01109000,0.544,0.639,,0.4232,3.40288409046663,-0.0562477546982187,0.0694309908005873
01109060,0.509,0.635,,0.3942,3.39568843736692,-0.0542505461617722,0.0693088486975442
01109070,0.591,0.553,,0.4996,3.36293380756829,-0.0624578716915343,0.0669414817481388
01109403,0.485,0.615,,0.3842,3.40288409046663,-0.0562477546982187,0.0694309908005873
01109730,0.27,0.53,,0.3204,3.42949277404636,0.0324009659685967,0.0932014212707043
01110000,0.144,0.337,,0.1877,3.37232797986251,0.0208884808971925,0.0888292254130539
01111212,0.302,0.413,,0.4101,3.39435621974812,0.00874503547711,0.0856751182219433
01111300,0.216,0.504,,0.2874,3.41095323246334,-0.000980825559345,0.0823228767896942
01111500,0.38,0.535,,0.4136,3.47023447301819,-0.0226351599390009,0.0762764714941065
01115630,0.504,0.523,,0.4748,3.51598543061386,-0.0705159992597869,0.0515671662358887
01117370,0.366,0.29,,0.3621,3.36871625977977,-0.0894511041421455,0.0409652103602018
01117468,0.474,0.486,,0.4153,3.51598543061386,-0.0705159992597869,0.0515671662358887
01117800,0.498,0.61,,0.425,3.43890410853562,-0.0587163253879635,0.0534510699432835
01118300,0.562,0.669,,0.4074,3.03294002317941,-0.054154876148857,0.0422631410520998
01119500,0.483,0.617,,0.4169,3.34824428101235,0.0625369405852502,0.0901118711285926
01121000,0.286,0.584,,0.2967,3.35072891677313,0.0314646262096506,0.092349586919708
01122000,0.278,0.491,,0.2707,3.29768219176248,0.0362121902598642,0.076609766410801
01122500,0.432,0.583,,0.4659,3.32053784218531,0.0468456573204284,0.0759281181957242
01123000,0.459,0.605,,0.4948,3.3152388435846,-0.0069806202410263,0.0555663256822518
01125100,0.223,0.427,,,3.40513669519985,0.0209917912851456,0.0890502902963864
01125500,0.339,0.54,,,3.38070823465353,0.0218348116358449,0.0830906581562536
01127000,0.438,0.58,,,3.38420170998358,0.0026141040180489,0.0716917999777237
