basin_id,train_start,train_end,valid_start,valid_end,test_start,test_end
01017000,2007-09-18 21:00:00,2018-01-05 15:00:00,2018-01-05 18:00:00,2021-06-12 12:00:00,2021-06-12 15:00:00,2024-11-17 12:00:00
01017060,2008-11-18 21:00:00,2018-07-03 03:00:00,2018-07-03 06:00:00,2021-09-16 06:00:00,2021-09-16 09:00:00,2024-11-30 09:00:00
01017290,2008-09-18 21:00:00,2018-06-01 00:00:00,2018-06-01 03:00:00,2021-08-24 18:00:00,2021-08-24 21:00:00,2024-11-17 12:00:00
01017960,2007-09-18 21:00:00,2018-01-14 03:00:00,2018-01-14 06:00:00,2021-06-23 21:00:00,2021-06-24 00:00:00,2024-12-01 18:00:00
01018000,2007-09-18 21:00:00,2012-07-07 00:00:00,2012-07-07 03:00:00,2014-02-11 09:00:00,2014-02-11 12:00:00,2015-09-18 18:00:00
01018009,2008-05-20 21:00:00,2018-04-22 15:00:00,2018-04-22 18:00:00,2021-08-12 12:00:00,2021-08-12 15:00:00,2024-12-02 12:00:00
01019000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01021200,2007-09-21 21:00:00,2010-09-20 00:00:00,2010-09-20 03:00:00,2011-09-19 18:00:00,2011-09-19 21:00:00,2012-09-18 18:00:00
01027200,2007-09-18 21:00:00,2018-01-13 09:00:00,2018-01-13 12:00:00,2021-06-22 21:00:00,2021-06-23 00:00:00,2024-11-30 09:00:00
01029200,2019-04-02 09:00:00,2022-08-26 03:00:00,2022-08-26 06:00:00,2023-10-14 03:00:00,2023-10-14 06:00:00,2024-12-01 03:00:00
01029500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01030500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01031300,2007-09-18 21:00:00,2018-01-14 06:00:00,2018-01-14 09:00:00,2021-06-24 03:00:00,2021-06-24 06:00:00,2024-12-02 00:00:00
01031450,2007-09-18 21:00:00,2018-01-14 03:00:00,2018-01-14 06:00:00,2021-06-23 21:00:00,2021-06-24 00:00:00,2024-12-01 18:00:00
01031500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01031510,2008-06-18 21:00:00,2018-05-04 06:00:00,2018-05-04 09:00:00,2021-08-18 09:00:00,2021-08-18 12:00:00,2024-12-02 12:00:00
01037380,2007-09-29 21:00:00,2018-01-18 12:00:00,2018-01-18 15:00:00,2021-06-26 00:00:00,2021-06-26 03:00:00,2024-12-01 15:00:00
01042500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01043500,2014-06-06 21:00:00,2020-09-21 18:00:00,2020-09-21 21:00:00,2022-10-28 03:00:00,2022-10-28 06:00:00,2024-12-02 12:00:00
01044550,2007-09-18 21:00:00,2018-01-13 18:00:00,2018-01-13 21:00:00,2021-06-23 09:00:00,2021-06-23 12:00:00,2024-12-01 03:00:00
01046000,2008-06-18 21:00:00,2018-05-03 03:00:00,2018-05-03 06:00:00,2021-08-16 21:00:00,2021-08-17 00:00:00,2024-11-30 15:00:00
01046500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01047150,2009-03-20 21:00:00,2018-08-22 06:00:00,2018-08-22 09:00:00,2021-10-12 09:00:00,2021-10-12 12:00:00,2024-12-02 12:00:00
01047200,2008-06-18 21:00:00,2018-05-03 03:00:00,2018-05-03 06:00:00,2021-08-16 21:00:00,2021-08-17 00:00:00,2024-11-30 18:00:00
01048220,2008-05-19 21:00:00,2018-04-21 21:00:00,2018-04-22 00:00:00,2021-08-11 21:00:00,2021-08-12 00:00:00,2024-12-02 00:00:00
01052500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01054200,2007-09-18 21:00:00,2018-01-13 15:00:00,2018-01-13 18:00:00,2021-06-23 06:00:00,2021-06-23 09:00:00,2024-11-30 21:00:00
01054300,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01055000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01059000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01060000,2019-09-18 21:00:00,2022-11-02 15:00:00,2022-11-02 18:00:00,2023-11-17 21:00:00,2023-11-18 00:00:00,2024-12-02 06:00:00
01064801,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01067950,2008-05-31 21:00:00,2018-04-26 09:00:00,2018-04-26 12:00:00,2021-08-13 21:00:00,2021-08-14 00:00:00,2024-12-01 12:00:00
01068910,2008-03-26 21:00:00,2018-03-31 15:00:00,2018-03-31 18:00:00,2021-08-01 12:00:00,2021-08-01 15:00:00,2024-12-02 12:00:00
01069500,2008-11-09 21:00:00,2018-06-30 18:00:00,2018-06-30 21:00:00,2021-09-16 03:00:00,2021-09-16 06:00:00,2024-12-02 12:00:00
01069700,2008-11-23 21:00:00,2018-07-06 00:00:00,2018-07-06 03:00:00,2021-09-18 09:00:00,2021-09-18 12:00:00,2024-12-01 21:00:00
01072800,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01073000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01073319,2008-06-21 21:00:00,2018-05-05 09:00:00,2018-05-05 12:00:00,2021-08-18 21:00:00,2021-08-19 00:00:00,2024-12-02 12:00:00
01073500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
010735562,2008-09-14 21:00:00,2018-06-08 09:00:00,2018-06-08 12:00:00,2021-09-04 21:00:00,2021-09-05 00:00:00,2024-12-02 12:00:00
01073587,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01073785,2012-03-18 09:00:00,2019-11-02 12:00:00,2019-11-02 15:00:00,2022-05-19 00:00:00,2022-05-19 03:00:00,2024-12-02 12:00:00
01074520,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01075000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01076000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01076500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01077400,2008-08-31 21:00:00,2018-06-02 18:00:00,2018-06-02 21:00:00,2021-09-02 03:00:00,2021-09-02 06:00:00,2024-12-02 12:00:00
01078000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01081000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01081500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01082000,2011-06-30 09:00:00,2019-07-20 18:00:00,2019-07-20 21:00:00,2022-03-27 15:00:00,2022-03-27 18:00:00,2024-12-02 12:00:00
01085000,2015-09-18 21:00:00,2021-03-28 09:00:00,2021-03-28 12:00:00,2023-01-29 21:00:00,2023-01-30 00:00:00,2024-12-02 12:00:00
01085500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01086000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01089100,2007-09-18 21:00:00,2016-09-18 03:00:00,2016-09-18 06:00:00,2019-09-18 21:00:00,2019-09-19 00:00:00,2022-09-18 18:00:00
01089500,2007-11-02 21:00:00,2018-02-01 12:00:00,2018-02-01 15:00:00,2021-07-03 09:00:00,2021-07-03 12:00:00,2024-12-02 09:00:00
01091000,2008-05-31 21:00:00,2018-04-27 00:00:00,2018-04-27 03:00:00,2021-08-14 18:00:00,2021-08-14 21:00:00,2024-12-02 12:00:00
01091500,2017-09-18 21:00:00,2022-01-14 18:00:00,2022-01-14 21:00:00,2023-06-25 03:00:00,2023-06-25 06:00:00,2024-12-02 12:00:00
01092000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01093852,2008-05-17 21:00:00,2018-04-21 09:00:00,2018-04-21 12:00:00,2021-08-11 21:00:00,2021-08-12 00:00:00,2024-12-02 12:00:00
01094000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01096000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01096500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
010965852,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01097000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01097300,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01098530,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01099500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01100000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01100505,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01100561,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01100600,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01100627,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01101000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01101500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01103280,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01103455,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01108000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01108410,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01109000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01109060,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01109070,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01109403,2007-09-18 21:00:00,2018-01-13 18:00:00,2018-01-13 21:00:00,2021-06-23 09:00:00,2021-06-23 12:00:00,2024-12-01 03:00:00
01109730,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01110000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01111212,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01111300,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01111500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01115630,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01115770,2007-09-18 21:00:00,2010-06-24 09:00:00,2010-06-24 12:00:00,2011-05-27 00:00:00,2011-05-27 03:00:00,2012-04-27 18:00:00
01117370,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01117468,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01117800,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01118300,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01119500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01121000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01122000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01122500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01123000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
